POSITION	LABEL	NAME
1FA01	FC902491	D-1FA01-T1
1FA02	FC902495	D-1FA02-T1
1FA02	FC902496	D-1FA02-T2
1FA03	FC902497	D-1FA03-T1
1FA04	FC902498	D-1FA04-T2
1FA04	FC902499	D-1FA04-T3
1FA05	FC902500	D-1FA05-T1
1FA09	FC902503	D-1FA09-T2
1FB01	FC902471	D-1FB01-T1
1FB01	FC902472	D-1FB01-T2
1FB02	FC902473	D-1FB02-T1
1FB03	FC902474	D-1FB03-T1
1FB03	FC902475	D-1FB03-T2
1FB04	FC902476	D-1FB04-T2
1FB05	FC902478	D-1FB05-T1
1FB05	FC902477	D-1FB05-T2
1FB06	FC902479	D-1FB06-T1
1FB07	FC902481	D-1FB07-T2
1FB07	FC902480	D-1FB07-T3
1FB08	FC902482	D-1FB08-T1
1FB09	FC902484	D-1FB09-T1
1FB09	FC902483	D-1FB09-T2
1FB10	FC902458	D-1FB10-T1
1FB11	FC902456	D-1FB11-T2
1FB12	FC902454	D-1FB12-T2
1FB13	FC902552	D-1FB13-T2
1FC01	FC902534	D-1FC01-T2
1FC01	FC902533	D-1FC01-T3
1FC02	FC902535	D-1FC02-T1
1FC03	FC902538	D-1FC03-T1
1FC03	FC902537	D-1FC03-T2
1FC04	FC902539	D-1FC04-T2
1FC05	FC902541	D-1FC05-T2
1FC05	FC902540	D-1FC05-T3
1FC06	FC902543	D-1FC06-T1
1FC07	FC902545	D-1FC07-T2
1FC07	FC902544	D-1FC07-T3
1FC08	FC902546	D-1FC08-T1
1FC09	FC902548	D-1FC09-T1
1FC09	FC902547	D-1FC09-T2
1FC10	FC902532	D-1FC10-T2
1FC10	FC902531	D-1FC10-T3
1FC12	FC902530	D-1FC12-T3
1FC14	FC902528	D-1FC14-T2
1FC14	FC902527	D-1FC14-T3
1FC17	FC902524	D-1FC17-T1
1FC17	FC902523	D-1FC17-T2
1FC18	FC902526	D-1FC18-T2
1FC18	FC902525	D-1FC18-T3
1FD01	FC902550	D-1FD01-T2
1FD01	FC902549	D-1FD01-T3
1FD02	FC902551	D-1FD02-T1
1FD03	FC902439	D-1FD03-T1
1FD03	FC902438	D-1FD03-T2
1FD04	FC902440	D-1FD04-T2
1FD05	FC902442	D-1FD05-T2
1FD05	FC902441	D-1FD05-T3
1FD06	FC902443	D-1FD06-T1
1FD07	FC902445	D-1FD07-T2
1FD07	FC902444	D-1FD07-T3
1FD08	FC902446	D-1FD08-T1
1FD09	FC902448	D-1FD09-T1
1FD09	FC902447	D-1FD09-T2
1FD18	FC902514	D-1FD18-T1
1FE04	FC902431	D-1FE04-T1
1FE07	FC900293	D-1FE07-B2
1FE07	FC900294	D-1FE07-B3
1FE08	FC902422	D-1FE08-T1
1FE10	FC900422	D-1FE10-B1
